"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,initial_presentation_and_diagnosispreprocedure,,text,"Record ID",,,,,,,,,,,,,
age,initial_presentation_and_diagnosispreprocedure,,text,Age,,,,,,,,y,,,,,
race,initial_presentation_and_diagnosispreprocedure,,checkbox,Race,"1, American Indian or Alaskan Native, | 2, Asian or Pacific Islander | 3, Black | 4, White | 5, Hispanic Origin",,,,,,,,,,,,
insurance_type,initial_presentation_and_diagnosispreprocedure,,notes,"Insurance Type",,,,,,,,,,,,,
weight_in_kg,initial_presentation_and_diagnosispreprocedure,,text,"Weight in Kg",,,number,,,,,,,,,,
sex,initial_presentation_and_diagnosispreprocedure,,radio,Sex,"1, Male | 2, Female | 3, Other",,,,,,,,,,,,
medical_co_morbidities,initial_presentation_and_diagnosispreprocedure,,checkbox,"Medical Comorbidities","1, Hyperlipidemia (Elevated LDL or use of Statins) | 2, Diabetes (Elevated HBA1C or on Diabetic medication) | 3, Hypertension (elevated BP during admission or on anti hypertensives | 4, Previous Stroke | 5, CAD | 6, Heart Failure | 7, Atrial Fibrilation | 8, Smoker | 9, Drug Abuse | 11, Obesity (BMI >= 30) | 10, Other | 12, None",,,,,,,y,,,,,
other_co_morbidity,initial_presentation_and_diagnosispreprocedure,,text,"State Other",,,,,,,"[medical_co_morbidities(10)] = '1'",,,,,,
antiplatelet_anticoagulant,initial_presentation_and_diagnosispreprocedure,,checkbox,"Home Medication(s)","1, Aspirin | 2, Clopidogrel | 3, Ticagrelor | 4, Warfarin | 5, Apixaban | 6, Rivaroxaban | 7, Other anticoagulant or antiplatelet",,,,,,,,,,,,
other_co_antiplatelet,initial_presentation_and_diagnosispreprocedure,,text,"State Other",,,,,,,"[antiplatelet_anticoagulant(7)] = '1'",,,,,,
